;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Kamis, 05 April 2018 Jam. 06.30 Wib;siang;KolektorSekunder;-7.71595;111.7832444;9081.791048;2018
Jumat 06 April 2018 Jam. 18.00 Wib;malam;Lokal;-7.611327778;112.085925;2283.176771;2018
Sabtu, 07 April 2018 Jam. 07.00 Wib;siang;KolektorPrimer;-7.683975;111.9265472;258.0798383;2018
Sabtu, 07 April 2018 Jam. 16.00 Wib;siang;KolektorSekunder;-7.5138;112.1135778;4975.718397;2018
Minggu, 08 April 2018 Jam. 00.10 Wib;malam;KolektorPrimer;-7.639736111;112.0156917;30.76115762;2018
Minggu, 08 April 2018 Jam. 06.00 Wib;siang;KolektorSekunder;-7.525136111;112.0935417;2335.463613;2018
Minggu, 08 April 2018 Jam. 05.00 Wib;malam;KolektorPrimer;-7.526911111;111.88585;3939.759357;2018
Minggu, 08 April 2018 Jam. 15.45 Wib;siang;ArteriPrimer;-7.568488889;111.8487611;25.65222553;2018
Senin, 09 April 2018 Jam. 13.30 Wib;siang;KolektorPrimer;-7.678002778;111.9179778;295.3728119;2018
Senin, 09 April 2018 Jam. 13.30 Wib;siang;KolektorPrimer;-7.648369444;111.8964889;336.3881427;2018
Rabu, 11 April 2018 Jam. 11.30 Wib;siang;KolektorSekunder;-7.617591667;111.9185722;1084.235612;2018
Kamis, 12 April 2018 Jam. 01,30 Wib;malam;Lokal;-7.62495;111.9377194;1623.958311;2018
Kamis, 12 April 2018 Jam. 08.30 Wib;siang;ArteriPrimer;-7.568172222;111.8482306;93.69444091;2018
Kamis, 12 April 2018 Jam. 14.30 Wib;siang;KolektorSekunder;-7.602205556;111.8773639;495.4664725;2018
Jumat, 13 April 2018 Jam. 06.30 Wib;siang;ArteriPrimer;-7.564188889;111.8416278;198.8726702;2018
Jumat, 13 April 2018 Jam. 16.30 Wib;siang;ArteriPrimer;-7.604813889;112.082725;1409.60249;2018
Jumat, 13 April 2018 Jam. 18.30 Wib;malam;Lokal;-7.612027778;112.0997972;1296.641938;2018
Sabtu, 14 April 2018 Jam. 03.30 Wib;malam;ArteriPrimer;-7.607058333;112.0710444;1388.602679;2018
Sabtu, 14 April 2018 Jam. 11.30 Wib;siang;ArteriPrimer;-7.600502778;111.9204806;670.3024162;2018
Senin, 16 April 2018 Jam. 15.00 Wib;siang;KolektorPrimer;-7.525694444;111.8939028;2840.396161;2018
Selasa, 17 April 2018 Jam. 01.00 Wib;malam;ArteriPrimer;-7.601477778;111.9331917;201.768469;2018
Selasa, 17 April 2018 Jam. 09.00 Wib;siang;Lokal;-7.552536111;112.057;3236.777778;2018
Selasa, 17 April 2018 Jam. 17.30 Wib;siang;KolektorSekunder;-7.491766667;112.1608639;10742.15476;2018
Selasa, 17 April 2018 Jam. 15.00 Wib;siang;KolektorSekunder;-7.654625;111.8799833;1296.305155;2018
Selasa, 17 April 2018 Jam. 21.45 Wib;malam;KolektorSekunder;-7.660869444;111.8701028;1.585251847;2018
Rabu, 18 April 2018 Jam. 07.30 Wib;siang;KolektorPrimer;-7.526288889;111.9058861;1681.25229;2018
Rabu, 18 April 2018 Jam. 15.15 Wib;siang;ArteriPrimer;-7.599563889;111.9000639;64.01844091;2018
Kamis, 19 April 2018 Jam. 06.30 Wib;siang;KolektorSekunder;-7.528791667;112.0854583;1357.572549;2018
Kamis, 19 April 2018 Jam. 06.30 Wib;siang;KolektorPrimer;-7.570186111;111.8770722;1759.872641;2018
Kamis, 19 April 2018 Jam. 13.00 Wib;siang;ArteriPrimer;-7.606483333;112.0500778;56.3707719;2018
Jumat, 20 April 2018 Jam. 03.30 Wib;malam;ArteriPrimer;-7.602583333;112.0882083;746.8663403;2018
Jumat, 20 April 2018 Jam. 17.00 Wib;siang;KolektorSekunder;-7.694347222;112.0535306;547.9957995;2018
Jumat, 20 April 2018 Jam. 19.00 Wib;malam;Lokal;-7.583238889;112.0563083;850.6900839;2018
Jumat, 20 April 2018 Jam. 19.45 Wib;malam;ArteriPrimer;-7.603102778;112.0282528;732.002885;2018
Sabtu, 21 April 2018 Jam. 04.30 Wib;malam;Lokal;-7.609008333;111.9311639;851.7832705;2018
Sabtu, 21 April 2018 Jam. 12.00 Wib;siang;KolektorSekunder;-7.68715;111.8047;4896.213791;2018
